State_Name,State,Lat,Long,AllDeaths,AllDeathsPer100k,CancerDeaths,CancerDeathsPer100k,HeartDiseaseDeaths,HeartDiseaseDeathsPer100k,AccidentsDeaths,AccidentsDeathsPer100k,MotorVehicleDeaths,MotorVehicleDeathsPer100k,PoisoningDeaths,PoisoninDeathsPer100k,SuicideDeaths,SuicideDeathsPer100k,HomicideDeaths,HomicideDeathsPer100k,Covid19Positive,Covid19Negative,Covid19Pending,Covid19Hospitalized,Covid19Death,Pop,CovidByPop
Ohio,OH,40.3888,-82.7649,123648,8497,25643,1712,28008,1862,8971,751,1322,111,4992,453,1740,148,828,75,1137,19012,0,276,19,11747694,9
Oklahoma,OK,35.5653,-96.9289,40452,9024,8203,1773,10772,2372,2563,625,723,181,746,194,756,191,318,85,322,1084,0,105,8,3954821,8
Oregon,OR,44.571999999999996,-122.0709,36624,7172,8083,1542,6942,134,2076,447,509,117,454,106,825,19,127,31,414,8510,0,102,12,4301089,9
Pennsylvania,PA,40.5908,-77.2098,135656,7773,28387,161,32312,176,9527,702,1262,95,5205,43,2030,15,791,66,2218,21016,0,551,22,12820878,17
Puerto Rico,PR,18.2208,-66.5901,30777,658,5210,1091,5557,1136,966,233,317,85,71,21,247,65,684,22,79,519,334,0,3,3032165,2
Rhode Island,RI,41.6809,-71.5118,10157,7134,2154,1542,2339,1557,718,60,105,94,318,304,129,118,19,0,165,1366,138,23,0,1056161,15
South Carolina,SC,33.8569,-80.945,49441,828,10356,1627,10418,172,3147,602,1059,208,980,20,838,163,444,93,456,2307,0,109,9,5210095,8
South Dakota,SD,44.2998,-99.4388,7996,7366,1715,1569,1710,1501,537,561,165,189,70,82,191,225,34,42,58,2387,20,0,1,903027,6
Tennessee,TN,35.7478,-86.6923,70096,8971,14302,1734,16019,2022,4435,63,1088,157,1691,254,1166,168,557,88,1203,14888,0,103,6,6897576,17
Texas,TX,31.0545,-97.5635,198106,7357,40668,1465,45346,1692,10763,388,3892,138,2796,98,3778,134,1653,58,1731,21935,0,0,23,29472295,5
Utah,UT,40.15,-111.8624,18035,7001,3161,1203,3749,1502,1238,442,293,99,508,174,663,227,79,26,480,8764,0,0,2,3282115,14
Vermont,VT,44.0459,-72.7107,6007,7149,1434,1645,1332,1525,394,569,81,123,119,21,112,183,15,0,184,2077,0,18,10,628061,29
Virginia,VA,37.7693,-78.17,68579,7194,15064,1526,14861,1545,3922,44,896,101,1427,169,1179,134,455,54,604,6733,0,83,14,8626207,7
Washington,WA,47.4009,-121.4905,56995,6886,12664,1484,11582,1388,3455,44,663,88,1073,14,1297,169,266,36,3207,43173,0,0,147,7797095,41
West Virginia,WV,38.4912,-80.9545,23276,9571,4654,1794,4849,192,1892,1003,337,182,961,57,393,211,112,65,76,1779,43,1,0,1778070,4
Wisconsin,WI,44.2685,-89.6165,52681,722,11318,1532,11860,1576,3746,583,657,109,1099,198,926,154,202,37,842,13140,0,0,13,5851754,14
Wyoming,WY,42.756,-107.3025,4768,7145,948,1361,1001,1489,348,569,110,191,71,13,157,269,19,0,70,1211,0,11,0,567025,12
