date,state,positive,negative,pending,hospitalized,death,total,hash,datechecked,totaltestresults,fips,deathincrease,hospitalizedincrease,negativeincrease,positiveincrease,totaltestresultsincrease
2020-03-27,IL,3060.0,18516.0,0.0,0.0,34.0,21576,89e253de61f18c2927e7091c0b3d0579c3d7368d,2020-03-27 20:00:00,21576,17,8,0,4423,522,4945
2020-03-27,IN,981.0,5955.0,0.0,0.0,24.0,6936,38d253f99cc16dd1052d9fe12840428d505de503,2020-03-27 20:00:00,6936,18,7,0,1949,336,2285
2020-03-27,KS,202.0,3229.0,0.0,27.0,4.0,3431,a911d702bff86e3d2c74966a261b7ce13acf82a7,2020-03-27 20:00:00,3431,20,1,27,360,34,394
2020-03-27,KY,248.0,3768.0,0.0,0.0,6.0,4016,b6f0f0fe75111858fbfe5c6fe5859672a2b15c67,2020-03-27 20:00:00,4016,21,2,0,666,50,716
2020-03-27,LA,2746.0,18613.0,0.0,773.0,119.0,21359,a7547887a4ab78a94951426e7ca6344de9716e0a,2020-03-27 20:00:00,21359,22,36,97,2889,441,3330
2020-03-27,MA,3240.0,26131.0,0.0,219.0,35.0,29371,b9bf45fcb70c3e0014a69cf888336e4438122510,2020-03-27 20:00:00,29371,25,10,0,4927,823,5750
2020-03-27,MD,774.0,94.0,0.0,173.0,5.0,868,9da0ce5d162989adc7a53690b69621880debc51f,2020-03-27 20:00:00,868,24,1,41,0,194,194
2020-03-27,ME,168.0,3394.0,0.0,0.0,1.0,3562,889034488e610c4643e22d3c4f851670c17116ca,2020-03-27 20:00:00,3562,23,1,0,0,13,13
2020-03-27,MI,3657.0,6550.0,0.0,0.0,92.0,10207,2e6ce565a08a826ca05a17c6f49a421f05f5221a,2020-03-27 20:00:00,10207,26,32,0,0,801,801
2020-03-27,MN,398.0,13605.0,0.0,51.0,4.0,14003,9e494f78ad18173c861378a174bd9e9968253401,2020-03-27 20:00:00,14003,27,2,10,1001,52,1053
2020-03-27,MO,669.0,369.0,0.0,0.0,8.0,1038,041cebb3edf4df3a4dab42d8e5f4054bde64fec1,2020-03-27 20:00:00,1038,29,0,0,0,167,167
2020-03-27,MP,0.0,0.0,0.0,0.0,0.0,0,0a09eb3bd334b9c2043fa9f210f5b3297f86f355,2020-03-27 20:00:00,0,69,0,0,0,0,0
2020-03-27,MS,579.0,2560.0,0.0,185.0,8.0,3139,086392aa819f45263d1db69799b5a8f12d5e6282,2020-03-27 20:00:00,3139,28,2,35,269,94,363
2020-03-27,MT,108.0,2590.0,0.0,7.0,0.0,2698,b58e79a132833c55d910739a96c583d8671711a7,2020-03-27 20:00:00,2698,30,0,6,462,37,499
2020-03-27,NC,763.0,14373.0,0.0,77.0,3.0,15136,a3f28be3fc93485dbafab662d84dc87c1360f589,2020-03-27 20:00:00,15136,37,1,48,2099,127,2226
2020-03-27,ND,65.0,2427.0,0.0,13.0,0.0,2492,d17a82e430f6993a6833647f1d27016c718b9f3f,2020-03-27 20:00:00,2492,38,0,3,388,13,401
2020-03-27,NE,85.0,1761.0,0.0,0.0,0.0,1846,8246ae9f91c7755dcbc32eb5a505ec21e2be1740,2020-03-27 20:00:00,1846,31,0,0,177,12,189
2020-03-27,NH,158.0,3395.0,592.0,25.0,1.0,4145,98e786378941f26be94eb285222c42d65bcc9b8b,2020-03-27 20:00:00,3553,33,0,6,394,21,415
2020-03-27,NJ,8825.0,16547.0,0.0,0.0,108.0,25372,0d39578151f81e5673a2dcc01976b9571e5aa75d,2020-03-27 20:00:00,25372,34,27,0,2886,1949,4835
2020-03-27,NM,136.0,8377.0,0.0,0.0,1.0,8513,5c149eabc29617580ecaddffefb02b7eecbb7fee,2020-03-27 20:00:00,8513,35,0,0,696,24,720
2020-03-27,NV,535.0,6161.0,0.0,0.0,10.0,6696,927461986e317a63dd25576235c91813eb7e887e,2020-03-27 20:00:00,6696,32,0,0,1464,115,1579
2020-03-27,NY,44635.0,101118.0,0.0,8526.0,519.0,145753,315e7bd97946c9c63a1b2d0648a51d3e73e6b51c,2020-03-27 20:00:00,145753,36,134,1682,16272,7377,23649
2020-03-27,OH,1137.0,19012.0,0.0,276.0,19.0,20149,35925f32120bbbb19224cee1f3f1385174e0759e,2020-03-27 20:00:00,20149,39,4,53,2563,270,2833
