"","State_Name","Province_State","total_confirmed28","total_deaths28","total_confirmed27","total_deaths27","confirm_change","deaths_change","State","Lat","Long","AllDeaths","AllDeathsPer100k","CancerDeaths","CancerDeathsPer100k","HeartDiseaseDeaths","HeartDiseaseDeathsPer100k","AccidentsDeaths","AccidentsDeathsPer100k","MotorVehicleDeaths","MotorVehicleDeathsPer100k","PoisoningDeaths","PoisoninDeathsPer100k","SuicideDeaths","SuicideDeathsPer100k","HomicideDeaths","HomicideDeathsPer100k","Covid19Positive","Covid19Negative","Covid19Pending","Covid19Hospitalized","Covid19Death","Pop","data_value","NAME"
"20","Maine","Maine",211,1,168,1,25.5952380952381,0,"ME",44.6939,-69.3819,14676,7716,3391,1708,2844,1435,990,68,190,137,395,326,274,189,19,0,168,3394,0,0,1,1345790,18,"Maine"
"21","Maryland","Maryland",995,5,775,5,28.3870967741935,0,"MD",39.0639,-76.8021,49926,7181,10796,1515,11653,1645,2408,369,574,92,670,107,630,98,587,102,774,94,0,173,5,6083116,15.8,"Maryland"
"22","Massachusetts","Massachusetts",4257,44,3240,35,31.3888888888889,25.7142857142857,"MA",42.2302,-71.5301,58803,6771,12934,1493,12140,1346,3821,515,416,57,2109,31,682,95,171,26,3240,26131,0,219,35,6976597,14.2,"Massachusetts"
"23","Michigan","Michigan",4650,111,3634,92,27.958172812328,20.6521739130435,"MI",43.3266,-84.5361,97602,7835,20671,1613,25187,1961,5623,53,1057,102,2302,238,1457,141,588,63,3657,6550,0,0,92,10045029,19.3,"Michigan"
"24","Minnesota","Minnesota",441,5,396,4,11.3636363636364,25,"MN",45.6945,-93.9002,44371,6564,9896,1468,8230,1191,2788,446,452,78,718,131,783,138,122,22,398,13605,0,51,4,5700671,13.5,"Minnesota"
"25","Mississippi","Mississippi",663,13,579,8,14.5077720207254,62.5,"MS",32.7416,-89.6787,32280,9513,6526,1831,7944,2316,1738,563,771,257,321,111,445,15,360,127,579,2560,0,185,8,2989260,23.3,"Mississippi"
"26","Missouri","Missouri",836,10,666,9,25.5255255255255,11.1111111111111,"MO",38.4561,-92.2884,61876,8201,12971,1672,14820,1911,3776,588,999,16,1273,219,1151,185,655,113,669,369,0,0,8,6169270,20.4,"Missouri"
"27","Montana","Montana",129,1,109,1,18.348623853211,0,"MT",46.9219,-110.4544,10200,7575,2145,1526,2164,155,579,502,179,17,111,109,311,289,42,43,108,2590,0,7,0,1086759,15.1,"Montana"
"28","Nebraska","Nebraska",96,2,82,0,17.0731707317073,Inf,"NE",41.1254,-98.2681,16878,726,3502,1526,3581,1493,811,385,260,133,148,79,275,147,50,27,85,1761,0,0,0,1952570,14.5,"Nebraska"
"29","Nevada","Nevada",626,10,536,10,16.7910447761194,0,"NV",38.3135,-117.0554,24657,7655,5283,1553,6417,1993,1496,478,353,112,585,187,627,203,221,76,535,6161,0,0,10,3139658,20.6,"Nevada"
